material,Z_material,A_material,Z,A,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12
Argent,47.0,107.8682,98.,249.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argent,47.0,107.8682,99.,254.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argent,47.0,107.8682,100.,252.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Etain,50.0,118.71,1.,1.,2.238,1.304,0.07985,-0.0003463,-0.0007042,-1.061e-05,-1.941,0.9876,-0.06487,0.005446,-0.0002817,7.822e-06
Etain,50.0,118.71,2.,4.,2.319,1.205,0.1252,-0.008871,-0.0003341,1.999e-05,-2.746,1.68,-0.2886,0.0393,-0.002692,7.293e-05
Etain,50.0,118.71,3.,7.,2.119,1.113,0.1621,-0.007715,-0.003046,0.0003555,-3.105,2.311,-0.5579,0.09205,-0.00752,0.0002398
Etain,50.0,118.71,4.,9.,1.977,1.019,0.1572,0.0001561,-0.00379,0.0003182,-2.983,2.233,-0.4974,0.07831,-0.006252,0.0001984
Etain,50.0,118.71,5.,11.,1.886,0.9497,0.1516,0.005415,-0.004058,0.0002663,-2.946,2.224,-0.4665,0.0697,-0.005355,0.0001661
Etain,50.0,118.71,6.,12.,1.732,0.9033,0.148,0.007226,-0.003758,0.0001972,-2.804,2.27,-0.4932,0.07625,-0.006082,0.0001959
Etain,50.0,118.71,7.,14.,1.679,0.8669,0.1455,0.009142,-0.003871,0.0001889,-2.807,2.323,-0.5055,0.07772,-0.006178,0.0001989
Etain,50.0,118.71,8.,16.,1.655,0.8308,0.1422,0.01066,-0.003784,0.0001606,-2.896,2.434,-0.5386,0.08307,-0.00663,0.0002145
Etain,50.0,118.71,9.,19.,1.705,0.7996,0.1361,0.01194,-0.003445,0.0001033,-3.133,2.583,-0.5713,0.08657,-0.006806,0.0002177
Etain,50.0,118.71,10.,20.,1.66,0.77,0.1301,0.013,-0.003077,4.654e-05,-3.134,2.634,-0.5839,0.0884,-0.006967,0.0002241
Etain,50.0,118.71,11.,23.,1.713,0.7521,0.1204,0.01404,-0.002512,-3.432e-05,-3.252,2.62,-0.5416,0.07598,-0.005555,0.000167
Etain,50.0,118.71,12.,24.,1.678,0.7335,0.1133,0.01489,-0.002131,-8.892e-05,-3.177,2.559,-0.5013,0.06598,-0.004466,0.0001233
Etain,50.0,118.71,13.,27.,1.722,0.7197,0.1065,0.01552,-0.001781,-0.0001347,-3.279,2.548,-0.4651,0.05514,-0.003204,7.101e-05
Etain,50.0,118.71,14.,28.,1.693,0.7067,0.1007,0.01593,-0.001466,-0.0001731,-3.21,2.49,-0.4281,0.04583,-0.002164,2.787e-05
Etain,50.0,118.71,15.,31.,1.732,0.6969,0.09503,0.01626,-0.001183,-0.0002054,-3.286,2.463,-0.3888,0.03479,-0.0009015,-2.442e-05
Etain,50.0,118.71,16.,32.,1.708,0.6871,0.09016,0.01646,-0.0009261,-0.0002329,-3.225,2.409,-0.3539,0.02587,0.0001209,-6.804e-05
Etain,50.0,118.71,17.,35.,1.743,0.6796,0.08536,0.01664,-0.0006984,-0.0002558,-3.286,2.372,-0.3132,0.01479,0.001377,-0.0001201
Etain,50.0,118.71,18.,40.,1.825,0.6738,0.08076,0.01678,-0.0004977,-0.0002749,-3.44,2.341,-0.2659,0.001949,0.002787,-0.0001761
Etain,50.0,118.71,19.,39.,1.756,0.6655,0.07716,0.01681,-0.0003068,-0.0002923,-3.286,2.282,-0.2403,-0.004546,0.003602,-0.0002148
Etain,50.0,118.71,20.,40.,1.74,0.6586,0.07367,0.01684,-0.0001369,-0.000307,-3.244,2.241,-0.2107,-0.01254,0.004566,-0.000258
Etain,50.0,118.71,21.,45.,1.815,0.654,0.07002,0.01691,7.955e-06,-0.0003187,-3.378,2.201,-0.1623,-0.02527,0.005943,-0.0003122
Etain,50.0,118.71,22.,48.,1.841,0.6489,0.06678,0.01694,0.000141,-0.000329,-3.41,2.151,-0.1212,-0.03593,0.007136,-0.0003617
Etain,50.0,118.71,23.,51.,1.865,0.644,0.06377,0.01696,0.0002618,-0.000338,-3.438,2.1,-0.07996,-0.04656,0.008325,-0.0004111
Etain,50.0,118.71,24.,52.,1.851,0.6386,0.06111,0.01696,0.0003729,-0.000346,-3.398,2.057,-0.04961,-0.05484,0.009338,-0.0004572
Etain,50.0,118.71,25.,55.,1.874,0.6343,0.05843,0.01698,0.0004721,-0.0003528,-3.42,2.002,-0.007339,-0.06566,0.01055,-0.0005077
Etain,50.0,118.71,26.,56.,1.862,0.6294,0.05606,0.01698,0.0005643,-0.0003589,-3.383,1.959,0.02301,-0.07404,0.01158,-0.0005553
Etain,50.0,118.71,27.,59.,1.884,0.6255,0.05365,0.017,0.0006434,-0.0003637,-3.4,1.9,0.06654,-0.08512,0.01283,-0.0006072
Etain,50.0,118.71,28.,58.,1.84,0.6204,0.05167,0.01698,0.0007237,-0.0003688,-3.314,1.875,0.08333,-0.09093,0.0137,-0.0006535
Etain,50.0,118.71,29.,63.,1.895,0.6166,0.04957,0.01706,0.0007664,-0.00037,-3.39,1.803,0.1401,-0.1049,0.01517,-0.0007111
Etain,50.0,118.71,30.,64.,1.885,0.6127,0.04763,0.01707,0.0008286,-0.0003735,-3.354,1.758,0.1713,-0.1136,0.01627,-0.0007623
Etain,50.0,118.71,31.,69.,1.934,0.6101,0.0455,0.01713,0.0008768,-0.0003757,-3.4,1.67,0.2315,-0.1278,0.01773,-0.0008184
Etain,50.0,118.71,32.,74.,1.978,0.6075,0.0435,0.01719,0.0009182,-0.0003773,-3.433,1.576,0.2922,-0.1419,0.01918,-0.0008741
Etain,50.0,118.71,33.,75.,1.968,0.604,0.04182,0.01721,0.0009627,-0.0003792,-3.397,1.529,0.3242,-0.1508,0.0203,-0.0009264
Etain,50.0,118.71,34.,80.,2.009,0.6017,0.04,0.01728,0.0009933,-0.0003799,-3.418,1.431,0.3859,-0.165,0.02175,-0.0009818
Etain,50.0,118.71,35.,79.,1.977,0.5965,0.03886,0.01735,0.0009962,-0.0003777,-3.366,1.411,0.4064,-0.1727,0.02292,-0.001043
Etain,50.0,118.71,36.,84.,2.016,0.5946,0.03715,0.01742,0.001021,-0.0003779,-3.378,1.308,0.4686,-0.1868,0.02434,-0.001097
Etain,50.0,118.71,37.,85.,2.007,0.5918,0.03572,0.01744,0.00105,-0.0003786,-3.342,1.262,0.4998,-0.1956,0.02545,-0.00115
Etain,50.0,118.71,38.,88.,2.021,0.5895,0.03427,0.01749,0.001071,-0.0003786,-3.327,1.187,0.5461,-0.2068,0.0267,-0.001202
Etain,50.0,118.71,39.,89.,2.012,0.5869,0.03297,0.01752,0.001091,-0.0003785,-3.293,1.143,0.5763,-0.2154,0.0278,-0.001255
Etain,50.0,118.71,40.,90.,2.004,0.5844,0.03172,0.01755,0.001109,-0.0003782,-3.26,1.1,0.6058,-0.2238,0.02888,-0.001306
Etain,50.0,118.71,41.,93.,2.018,0.5824,0.03044,0.0176,0.001118,-0.0003771,-3.244,1.025,0.6516,-0.2349,0.03011,-0.001358
Etain,50.0,118.71,42.,98.,2.052,0.58,0.02927,0.01773,0.001094,-0.0003727,-3.241,0.9097,0.7191,-0.2503,0.0317,-0.00142
Etain,50.0,118.71,43.,98.,2.035,0.5777,0.02819,0.01775,0.001109,-0.0003722,-3.203,0.887,0.7378,-0.2567,0.03262,-0.001468
Etain,50.0,118.71,44.,102.,2.056,0.5764,0.02701,0.01779,0.001111,-0.0003704,-3.188,0.7973,0.7887,-0.2682,0.03382,-0.001515
Etain,50.0,118.71,45.,103.,2.049,0.5745,0.02598,0.01782,0.001119,-0.0003693,-3.158,0.7598,0.8144,-0.2756,0.03478,-0.001562
Etain,50.0,118.71,46.,106.,2.06,0.573,0.02494,0.01786,0.001117,-0.000367,-3.137,0.689,0.8556,-0.2854,0.03586,-0.001607
Etain,50.0,118.71,47.,107.,2.053,0.5713,0.024,0.01788,0.001118,-0.0003651,-3.109,0.6535,0.8802,-0.2925,0.03679,-0.001653
Etain,50.0,118.71,48.,114.,2.098,0.5706,0.0229,0.01796,0.001103,-0.0003617,-3.098,0.5126,0.953,-0.3072,0.03809,-0.001694
Etain,50.0,118.71,49.,115.,2.091,0.569,0.02206,0.01798,0.001097,-0.0003591,-3.071,0.4791,0.9761,-0.3139,0.03898,-0.001738
Etain,50.0,118.71,50.,120.,2.117,0.5681,0.0211,0.01804,0.001083,-0.0003557,-3.05,0.3747,1.031,-0.3255,0.04008,-0.001778
Etain,50.0,118.71,51.,121.,2.11,0.5668,0.02031,0.01804,0.001079,-0.0003533,-3.025,0.3472,1.05,-0.3311,0.04084,-0.001815
Etain,50.0,118.71,52.,130.,2.165,0.5667,0.01928,0.01811,0.00106,-0.0003495,-3.001,0.176,1.132,-0.3463,0.04203,-0.001845
Etain,50.0,118.71,53.,127.,2.127,0.565,0.01872,0.01809,0.001056,-0.0003469,-2.979,0.223,1.118,-0.3468,0.04252,-0.001885
Etain,50.0,118.71,54.,132.,2.151,0.5644,0.01791,0.01813,0.001037,-0.0003429,-2.954,0.1257,1.167,-0.3568,0.04345,-0.001917
Etain,50.0,118.71,55.,133.,2.144,0.5632,0.01725,0.01814,0.001023,-0.0003394,-2.932,0.1015,1.184,-0.3619,0.04414,-0.001951
Etain,50.0,118.71,56.,138.,2.166,0.5627,0.01652,0.01818,0.0009998,-0.000335,-2.906,0.007305,1.231,-0.3713,0.04499,-0.00198
Etain,50.0,118.71,57.,139.,2.16,0.5617,0.01592,0.01818,0.0009826,-0.0003311,-2.885,-0.01423,1.246,-0.3759,0.04562,-0.002012
Etain,50.0,118.71,58.,140.,2.153,0.5608,0.01536,0.01819,0.0009634,-0.000327,-2.866,-0.03398,1.261,-0.3803,0.04623,-0.002043
Etain,50.0,118.71,59.,141.,2.147,0.5598,0.01483,0.0182,0.0009409,-0.0003225,-2.847,-0.05327,1.275,-0.3846,0.04682,-0.002074
Etain,50.0,118.71,60.,142.,2.141,0.559,0.01433,0.01821,0.0009179,-0.000318,-2.829,-0.07097,1.288,-0.3886,0.04738,-0.002103
Etain,50.0,118.71,61.,145.,2.149,0.5584,0.01379,0.01823,0.0008891,-0.0003129,-2.808,-0.1242,1.316,-0.3947,0.04802,-0.002129
Etain,50.0,118.71,62.,152.,2.182,0.5588,0.01313,0.01823,0.0008688,-0.0003085,-2.781,-0.236,1.365,-0.403,0.04857,-0.002137
Etain,50.0,118.71,63.,153.,2.176,0.5581,0.0127,0.01823,0.0008424,-0.0003035,-2.766,-0.2487,1.375,-0.4062,0.04902,-0.002161
Etain,50.0,118.71,64.,158.,2.195,0.5579,0.01219,0.01825,0.0008085,-0.0002978,-2.74,-0.3309,1.413,-0.4134,0.04962,-0.002179
Etain,50.0,118.71,65.,159.,2.189,0.5573,0.01179,0.01825,0.0007793,-0.0002925,-2.726,-0.3426,1.422,-0.4163,0.05004,-0.002201
Etain,50.0,118.71,66.,164.,2.208,0.5571,0.01133,0.01828,0.0007424,-0.0002864,-2.699,-0.4224,1.459,-0.4231,0.0506,-0.002217
Etain,50.0,118.71,67.,165.,2.202,0.5566,0.01099,0.01827,0.00071,-0.0002807,-2.687,-0.4309,1.466,-0.4255,0.05096,-0.002237
Etain,50.0,118.71,68.,166.,2.197,0.5561,0.01068,0.01827,0.0006763,-0.0002748,-2.675,-0.4381,1.472,-0.4277,0.05129,-0.002255
Etain,50.0,118.71,69.,169.,2.203,0.5558,0.01033,0.01828,0.0006384,-0.0002685,-2.657,-0.4794,1.492,-0.4318,0.05169,-0.002271
Etain,50.0,118.71,70.,174.,2.221,0.5557,0.009955,0.01829,0.0005977,-0.0002619,-2.632,-0.5532,1.525,-0.4376,0.05213,-0.002282
Etain,50.0,118.71,71.,175.,2.216,0.5554,0.009697,0.01828,0.000561,-0.0002556,-2.623,-0.5574,1.529,-0.4392,0.05239,-0.002297
Etain,50.0,118.71,72.,180.,2.233,0.5554,0.009359,0.0183,0.0005182,-0.0002488,-2.598,-0.6279,1.56,-0.4445,0.05278,-0.002305
Etain,50.0,118.71,73.,181.,2.228,0.5551,0.009136,0.01828,0.0004799,-0.0002423,-2.59,-0.6297,1.563,-0.4457,0.05299,-0.002318
Etain,50.0,118.71,74.,184.,2.233,0.555,0.00889,0.01828,0.0004373,-0.0002353,-2.574,-0.6634,1.578,-0.4486,0.05324,-0.002327
Etain,50.0,118.71,75.,187.,2.239,0.5549,0.008652,0.01827,0.0003948,-0.0002283,-2.559,-0.6963,1.593,-0.4513,0.05347,-0.002335
Etain,50.0,118.71,76.,192.,2.255,0.555,0.008396,0.01828,0.0003492,-0.000221,-2.536,-0.7589,1.619,-0.4554,0.05373,-0.002338
Etain,50.0,118.71,77.,193.,2.251,0.5544,0.008219,0.0183,0.0002978,-0.0002133,-2.525,-0.77,1.627,-0.4579,0.05409,-0.002358
Etain,50.0,118.71,78.,195.,2.251,0.5545,0.00806,0.01827,0.0002567,-0.0002063,-2.517,-0.779,1.63,-0.4585,0.05415,-0.002361
Etain,50.0,118.71,79.,197.,2.251,0.5546,0.007913,0.01825,0.0002136,-0.000199,-2.509,-0.788,1.634,-0.459,0.0542,-0.002363
Etain,50.0,118.71,80.,202.,2.266,0.5549,0.007724,0.01823,0.0001676,-0.0001915,-2.489,-0.8419,1.654,-0.4618,0.05431,-0.00236
Etain,50.0,118.71,81.,205.,2.271,0.5551,0.007594,0.01821,0.0001219,-0.0001839,-2.479,-0.8634,1.662,-0.4628,0.05434,-0.002359
Etain,50.0,118.71,82.,208.,2.276,0.5553,0.007466,0.01818,7.716e-05,-0.0001764,-2.468,-0.8841,1.669,-0.4636,0.05435,-0.002357
Etain,50.0,118.71,83.,209.,2.271,0.5554,0.0074,0.01815,3.254e-05,-0.0001688,-2.467,-0.8736,1.664,-0.4626,0.05429,-0.002357
Etain,50.0,118.71,84.,210.,2.267,0.5555,0.007344,0.01811,-1.317e-05,-0.0001611,-2.466,-0.8627,1.658,-0.4615,0.05421,-0.002357
Etain,50.0,118.71,85.,211.,2.262,0.5556,0.00729,0.01807,-5.785e-05,-0.0001535,-2.466,-0.8514,1.652,-0.4603,0.05412,-0.002356
Etain,50.0,118.71,86.,211.,2.254,0.5557,0.007274,0.01802,-0.0001027,-0.0001458,-2.47,-0.8251,1.64,-0.4582,0.05399,-0.002355
Etain,50.0,118.71,87.,221.,2.29,0.5566,0.00707,0.01802,-0.0001566,-0.0001373,-2.432,-0.9418,1.684,-0.4634,0.05406,-0.002338
Etain,50.0,118.71,88.,226.,2.303,0.5571,0.006969,0.01799,-0.0002052,-0.0001293,-2.415,-0.9846,1.698,-0.4647,0.05401,-0.002329
Etain,50.0,118.71,89.,225.,2.29,0.5572,0.007004,0.01794,-0.0002506,-0.0001214,-2.426,-0.9413,1.679,-0.4614,0.0538,-0.002327
Etain,50.0,118.71,90.,232.,2.312,0.5579,0.006895,0.01792,-0.0003023,-0.000113,-2.402,-1.009,1.702,-0.4637,0.05374,-0.002313
Etain,50.0,118.71,91.,231.,2.299,0.558,0.006946,0.01786,-0.0003483,-0.0001051,-2.413,-0.965,1.682,-0.4603,0.0535,-0.002309
Etain,50.0,118.71,92.,238.,2.32,0.5588,0.006859,0.01783,-0.0004008,-9.656e-05,-2.39,-1.029,1.703,-0.4622,0.05341,-0.002294
Etain,50.0,118.71,93.,239.,2.316,0.5591,0.006892,0.01778,-0.0004483,-8.841e-05,-2.394,-1.011,1.693,-0.4598,0.05318,-0.002286
Etain,50.0,118.71,94.,239.,2.308,0.5594,0.006948,0.01772,-0.0004962,-8.019e-05,-2.402,-0.9799,1.678,-0.4568,0.05293,-0.00228
Etain,50.0,118.71,95.,243.,2.317,0.56,0.00694,0.01768,-0.0005462,-7.181e-05,-2.393,-1.0,1.682,-0.4562,0.05273,-0.002267
Etain,50.0,118.71,96.,245.,2.317,0.5604,0.006971,0.01762,-0.0005947,-6.352e-05,-2.393,-0.9944,1.676,-0.4543,0.05248,-0.002256
Etain,50.0,118.71,97.,248.,2.321,0.561,0.007002,0.01757,-0.0006446,-5.506e-05,-2.39,-0.9996,1.674,-0.4528,0.05223,-0.002243
Etain,50.0,118.71,98.,249.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Etain,50.0,118.71,99.,254.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Etain,50.0,118.71,100.,252.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CsI,54.0,129.0972,1.,1.,2.294,1.302,0.07701,-8.533e-05,-0.0006047,-2.335e-05,-1.99,0.9862,-0.06225,0.005043,-0.0002581,7.331e-06
CsI,54.0,129.0972,2.,4.,2.372,1.204,0.1223,-0.00875,-0.0002054,5.59e-06,-2.816,1.691,-0.2879,0.03893,-0.002655,7.173e-05
CsI,54.0,129.0972,3.,7.,2.184,1.104,0.1609,-0.01133,-0.001466,0.0001921,-3.627,2.841,-0.7737,0.1333,-0.01122,0.0003646
CsI,54.0,129.0972,4.,9.,2.042,1.011,0.1559,-0.003443,-0.002234,0.0001583,-3.472,2.739,-0.7101,0.1206,-0.01019,0.0003366
CsI,54.0,129.0972,5.,11.,1.951,0.9421,0.1501,0.001849,-0.002513,0.0001082,-3.421,2.72,-0.6803,0.1134,-0.009548,0.0003177
CsI,54.0,129.0972,6.,12.,1.797,0.895,0.1464,0.003861,-0.002282,4.595e-05,-3.259,2.756,-0.7093,0.122,-0.01062,0.0003657
CsI,54.0,129.0972,7.,14.,1.744,0.8591,0.1437,0.005823,-0.002402,3.832e-05,-3.263,2.814,-0.7276,0.1256,-0.01101,0.0003831
CsI,54.0,129.0972,8.,16.,1.721,0.8234,0.1402,0.007418,-0.002342,1.316e-05,-3.372,2.95,-0.7738,0.1342,-0.01186,0.0004162
CsI,54.0,129.0972,9.,19.,1.771,0.793,0.1339,0.008748,-0.002022,-4.163e-05,-3.653,3.144,-0.8248,0.1415,-0.01241,0.0004343
CsI,54.0,129.0972,10.,20.,1.726,0.7638,0.1279,0.009845,-0.001678,-9.516e-05,-3.654,3.201,-0.8442,0.1458,-0.01294,0.0004594
CsI,54.0,129.0972,11.,23.,1.778,0.747,0.1181,0.0108,-0.001117,-0.0001736,-3.782,3.196,-0.8062,0.1345,-0.01168,0.0004091
CsI,54.0,129.0972,12.,24.,1.742,0.729,0.1112,0.01163,-0.0007548,-0.0002247,-3.686,3.117,-0.762,0.1248,-0.01074,0.0003761
CsI,54.0,129.0972,13.,27.,1.784,0.7161,0.1044,0.01221,-0.0004155,-0.000268,-3.798,3.114,-0.7301,0.1151,-0.009613,0.0003301
CsI,54.0,129.0972,14.,28.,1.754,0.7036,0.09868,0.01261,-0.0001178,-0.0003034,-3.708,3.038,-0.6885,0.1058,-0.008692,0.0002963
CsI,54.0,129.0972,15.,31.,1.792,0.6946,0.09304,0.0129,0.0001579,-0.0003336,-3.79,3.016,-0.6522,0.09562,-0.007541,0.0002495
CsI,54.0,129.0972,16.,32.,1.768,0.6852,0.08824,0.01308,0.0004012,-0.0003587,-3.709,2.945,-0.6132,0.08676,-0.006632,0.0002147
CsI,54.0,129.0972,17.,35.,1.802,0.6785,0.08346,0.01322,0.0006219,-0.0003799,-3.774,2.911,-0.5746,0.07636,-0.005472,0.0001676
CsI,54.0,129.0972,18.,40.,1.883,0.6735,0.07885,0.01333,0.0008177,-0.0003975,-3.949,2.901,-0.535,0.06483,-0.00416,0.0001139
CsI,54.0,129.0972,19.,39.,1.814,0.6654,0.07534,0.01336,0.0009925,-0.0004125,-3.759,2.808,-0.4997,0.05766,-0.003439,8.583e-05
CsI,54.0,129.0972,20.,40.,1.797,0.6588,0.07191,0.01338,0.00115,-0.0004252,-3.703,2.754,-0.4672,0.04981,-0.002582,5.089e-05
CsI,54.0,129.0972,21.,45.,1.871,0.655,0.06823,0.01342,0.001291,-0.0004357,-3.855,2.733,-0.4264,0.03846,-0.001312,-6.558e-07
CsI,54.0,129.0972,22.,48.,1.896,0.6504,0.06501,0.01343,0.001416,-0.0004445,-3.888,2.685,-0.3871,0.02847,-0.0002189,-4.493e-05
CsI,54.0,129.0972,23.,51.,1.919,0.646,0.062,0.01345,0.001529,-0.000452,-3.917,2.636,-0.3476,0.0185,0.0008706,-8.906e-05
CsI,54.0,129.0972,24.,52.,1.905,0.6409,0.05939,0.01344,0.00163,-0.0004585,-3.863,2.581,-0.3146,0.01037,0.001781,-0.0001273
CsI,54.0,129.0972,25.,55.,1.927,0.637,0.05672,0.01345,0.001722,-0.0004639,-3.886,2.527,-0.2739,0.0001758,0.002896,-0.0001727
CsI,54.0,129.0972,26.,56.,1.914,0.6325,0.05438,0.01344,0.001805,-0.0004686,-3.836,2.472,-0.2409,-0.008111,0.00384,-0.000213
CsI,54.0,129.0972,27.,59.,1.936,0.629,0.05198,0.01346,0.001878,-0.0004724,-3.853,2.415,-0.1989,-0.01857,0.004986,-0.0002599
CsI,54.0,129.0972,28.,58.,1.892,0.624,0.05006,0.01345,0.001946,-0.0004758,-3.745,2.367,-0.1754,-0.02485,0.00578,-0.0002971
CsI,54.0,129.0972,29.,63.,1.946,0.6207,0.04793,0.01352,0.001982,-0.000476,-3.832,2.31,-0.1252,-0.03746,0.007136,-0.0003511
CsI,54.0,129.0972,30.,64.,1.936,0.617,0.04602,0.01353,0.002037,-0.0004784,-3.786,2.255,-0.09146,-0.04613,0.00815,-0.0003956
CsI,54.0,129.0972,31.,69.,1.984,0.6149,0.04388,0.01357,0.002082,-0.0004798,-3.84,2.176,-0.03621,-0.05928,0.009521,-0.000449
CsI,54.0,129.0972,32.,74.,2.027,0.6128,0.04186,0.01362,0.00212,-0.0004807,-3.881,2.093,0.01978,-0.07238,0.01088,-0.0005015
CsI,54.0,129.0972,33.,75.,2.017,0.6096,0.04021,0.01365,0.002156,-0.0004815,-3.832,2.035,0.05466,-0.08134,0.01193,-0.0005478
CsI,54.0,129.0972,34.,80.,2.057,0.6076,0.03838,0.0137,0.002184,-0.0004815,-3.86,1.945,0.1118,-0.09451,0.01328,-0.0005999
CsI,54.0,129.0972,35.,79.,2.025,0.6026,0.03727,0.01379,0.002179,-0.0004782,-3.79,1.909,0.1369,-0.1023,0.01434,-0.0006521
CsI,54.0,129.0972,36.,84.,2.063,0.6011,0.03555,0.01384,0.0022,-0.0004779,-3.808,1.813,0.1952,-0.1156,0.01569,-0.0007037
CsI,54.0,129.0972,37.,85.,2.054,0.5984,0.03415,0.01387,0.002224,-0.0004777,-3.76,1.758,0.2289,-0.1243,0.01673,-0.0007501
CsI,54.0,129.0972,38.,88.,2.067,0.5964,0.0327,0.01391,0.002239,-0.0004769,-3.743,1.681,0.2745,-0.1352,0.01791,-0.0007986
CsI,54.0,129.0972,39.,89.,2.058,0.594,0.03143,0.01394,0.002255,-0.0004761,-3.698,1.627,0.3073,-0.1438,0.01894,-0.0008453
CsI,54.0,129.0972,40.,90.,2.05,0.5916,0.03021,0.01397,0.002266,-0.0004749,-3.656,1.575,0.3394,-0.1522,0.01996,-0.0008918
CsI,54.0,129.0972,41.,93.,2.063,0.5898,0.02893,0.01403,0.00227,-0.0004732,-3.637,1.499,0.3844,-0.1629,0.02113,-0.0009399
CsI,54.0,129.0972,42.,98.,2.097,0.5878,0.02775,0.01415,0.002244,-0.0004684,-3.639,1.392,0.4476,-0.1774,0.02262,-0.0009979
CsI,54.0,129.0972,43.,98.,2.079,0.5856,0.0267,0.01417,0.002254,-0.0004672,-3.588,1.357,0.4701,-0.184,0.02349,-0.00104
CsI,54.0,129.0972,44.,102.,2.1,0.5845,0.02552,0.01421,0.002252,-0.0004649,-3.573,1.269,0.5189,-0.1949,0.02461,-0.001084
CsI,54.0,129.0972,45.,103.,2.092,0.5827,0.02451,0.01424,0.002255,-0.000463,-3.534,1.223,0.5471,-0.2024,0.02553,-0.001126
CsI,54.0,129.0972,46.,106.,2.103,0.5815,0.02348,0.01428,0.002248,-0.0004602,-3.511,1.151,0.5878,-0.2119,0.02654,-0.001168
CsI,54.0,129.0972,47.,107.,2.096,0.5798,0.02257,0.01431,0.002244,-0.0004577,-3.474,1.108,0.6145,-0.219,0.02743,-0.001209
CsI,54.0,129.0972,48.,114.,2.141,0.5795,0.02145,0.01438,0.002226,-0.0004539,-3.472,0.9795,0.6811,-0.2325,0.02863,-0.001249
CsI,54.0,129.0972,49.,115.,2.133,0.5779,0.02063,0.01441,0.002216,-0.0004508,-3.436,0.9383,0.7064,-0.2393,0.02948,-0.001288
CsI,54.0,129.0972,50.,120.,2.159,0.5773,0.01967,0.01446,0.002199,-0.000447,-3.418,0.8399,0.7577,-0.25,0.0305,-0.001325
CsI,54.0,129.0972,51.,121.,2.151,0.5761,0.0189,0.01447,0.002191,-0.000444,-3.385,0.8048,0.7789,-0.2557,0.03122,-0.001359
CsI,54.0,129.0972,52.,130.,2.206,0.5763,0.01785,0.01454,0.002171,-0.0004399,-3.374,0.6523,0.8523,-0.2693,0.0323,-0.001388
CsI,54.0,129.0972,53.,127.,2.168,0.5746,0.01732,0.01452,0.002161,-0.0004367,-3.334,0.6796,0.8456,-0.2706,0.03277,-0.001421
CsI,54.0,129.0972,54.,132.,2.191,0.5742,0.0165,0.01456,0.00214,-0.0004324,-3.312,0.5883,0.891,-0.2798,0.03361,-0.00145
CsI,54.0,129.0972,55.,133.,2.184,0.5732,0.01586,0.01457,0.002124,-0.0004286,-3.282,0.5579,0.9095,-0.2848,0.03424,-0.00148
CsI,54.0,129.0972,56.,138.,2.206,0.5728,0.01512,0.01461,0.002098,-0.0004239,-3.259,0.4694,0.9529,-0.2935,0.03502,-0.001506
CsI,54.0,129.0972,57.,139.,2.199,0.5719,0.01454,0.01462,0.002077,-0.0004196,-3.231,0.4414,0.97,-0.2981,0.03561,-0.001534
CsI,54.0,129.0972,58.,140.,2.193,0.571,0.014,0.01464,0.002053,-0.0004149,-3.205,0.4149,0.9863,-0.3026,0.03618,-0.001562
CsI,54.0,129.0972,59.,141.,2.186,0.5702,0.01348,0.01465,0.002027,-0.0004101,-3.18,0.3894,1.002,-0.3069,0.03674,-0.001589
CsI,54.0,129.0972,60.,142.,2.18,0.5693,0.013,0.01466,0.001999,-0.000405,-3.156,0.3657,1.017,-0.311,0.03727,-0.001614
CsI,54.0,129.0972,61.,145.,2.188,0.5689,0.01247,0.01469,0.001967,-0.0003995,-3.133,0.3127,1.044,-0.3168,0.03785,-0.001637
CsI,54.0,129.0972,62.,152.,2.22,0.5695,0.01179,0.01469,0.001945,-0.000395,-3.113,0.2127,1.087,-0.3239,0.03831,-0.001644
CsI,54.0,129.0972,63.,153.,2.214,0.5688,0.01138,0.01469,0.001915,-0.0003896,-3.092,0.1946,1.098,-0.3271,0.03872,-0.001664
CsI,54.0,129.0972,64.,158.,2.233,0.5688,0.01086,0.01472,0.00188,-0.0003837,-3.069,0.1187,1.133,-0.3335,0.03925,-0.00168
CsI,54.0,129.0972,65.,159.,2.227,0.5682,0.01048,0.01472,0.001847,-0.000378,-3.049,0.1018,1.144,-0.3364,0.03963,-0.001699
CsI,54.0,129.0972,66.,164.,2.245,0.5682,0.01002,0.01475,0.001808,-0.0003717,-3.026,0.02815,1.177,-0.3425,0.04012,-0.001713
CsI,54.0,129.0972,67.,165.,2.24,0.5677,0.009695,0.01475,0.001772,-0.0003656,-3.009,0.01456,1.185,-0.3449,0.04045,-0.001729
CsI,54.0,129.0972,68.,166.,2.234,0.5672,0.009392,0.01475,0.001735,-0.0003594,-2.992,0.002568,1.193,-0.3471,0.04075,-0.001745
