energy_per_nucleon_mev,range_micron,A,Z,Z_material,A_material
90.0,34515.021459227464,4,2,14,28
100.0,41536.48068669528,4,2,14,28
150.0,84244.63519313304,4,2,14,28
200.0,138206.00858369097,4,2,14,28
250.0,201721.03004291846,4,2,14,28
300.0,273051.50214592274,4,2,14,28
350.0,351150.2145922747,4,2,14,28
400.0,435167.3819742489,4,2,14,28
450.0,524390.5579399142,4,2,14,28
500.0,618218.8841201717,4,2,14,28
2.5,114.9032258064516,4,2,20,40
3.0,152.51612903225808,4,2,20,40
3.5,194.6451612903226,4,2,20,40
4.0,241.16129032258067,4,2,20,40
4.5,292.06451612903226,4,2,20,40
5.0,347.2258064516129,4,2,20,40
5.5,406.51612903225805,4,2,20,40
6.0,469.8709677419355,4,2,20,40
6.5,537.3548387096774,4,2,20,40
7.0,608.7741935483871,4,2,20,40
8.0,763.2903225806451,4,2,20,40
9.0,933.2258064516129,4,2,20,40
10.0,1118.1935483870968,4,2,20,40
11.0,1317.8709677419356,4,2,20,40
12.0,1532.0,4,2,20,40
15.0,2259.3548387096776,4,2,20,40
20.0,3741.935483870968,4,2,20,40
25.0,5545.806451612903,4,2,20,40
30.0,7655.4838709677415,4,2,20,40
35.0,10058.709677419354,4,2,20,40
40.0,12741.935483870968,4,2,20,40
45.0,15703.225806451614,4,2,20,40
50.0,18922.58064516129,4,2,20,40
55.0,22400.0,4,2,20,40
60.0,26122.58064516129,4,2,20,40
65.0,30090.322580645163,4,2,20,40
70.0,34290.32258064516,4,2,20,40
80.0,43380.645161290326,4,2,20,40
90.0,53354.83870967742,4,2,20,40
100.0,64167.74193548387,4,2,20,40
150.0,129845.16129032258,4,2,20,40
200.0,212580.64516129033,4,2,20,40
250.0,309212.9032258064,4,2,20,40
300.0,417658.06451612903,4,2,20,40
350.0,536348.3870967742,4,2,20,40
400.0,663993.5483870967,4,2,20,40
450.0,799554.8387096775,4,2,20,40
500.0,942070.9677419355,4,2,20,40
2.5,44.84581497797357,4,2,22,48
3.0,59.5374449339207,4,2,22,48
3.5,75.94713656387664,4,2,22,48
4.0,94.03083700440529,4,2,22,48
4.5,113.7885462555066,4,2,22,48
5.0,135.15418502202644,4,2,22,48
5.5,158.1057268722467,4,2,22,48
6.0,182.62114537444933,4,2,22,48
6.5,208.67841409691627,4,2,22,48
7.0,236.23348017621146,4,2,22,48
8.0,295.85903083700435,4,2,22,48
9.0,361.32158590308364,4,2,22,48
10.0,432.48898678414093,4,2,22,48
11.0,509.273127753304,4,2,22,48
12.0,591.5638766519824,4,2,22,48
15.0,870.704845814978,4,2,22,48
20.0,1438.5462555066078,4,2,22,48
25.0,2128.4140969162995,4,2,22,48
30.0,2934.361233480176,4,2,22,48
35.0,3851.5418502202638,4,2,22,48
40.0,4874.449339207048,4,2,22,48
45.0,6002.202643171806,4,2,22,48
50.0,7229.074889867841,4,2,22,48
